Author,Title,Description,URL,Source,Image,Category,Language,Country,Published_at
U.Today,"Bitcoin ETF Start Was 'Terribly Unsuccessful', Says CNBC's Ran Neuner","Bitcoin ETF Start Was 'Terribly Unsuccessful', Says CNBC's Ran Neuner",https://www.investing.com/news/cryptocurrency-news/bitcoin-etf-start-was-terribly-unsuccessful-says-cnbcs-ran-neuner-3273473,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXNPEC410B3_M.jpg,business,en,us,2024-01-12T12:30:25+00:00
Investing.com,Bitfinity raises $7 million to integrate Ethereum and Bitcoin,Bitfinity raises $7 million to integrate Ethereum and Bitcoin,https://www.investing.com/news/cryptocurrency-news/bitfinity-raises-7-million-to-integrate-ethereum-and-bitcoin-93CH-3273199,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-12T09:45:22+00:00
,U.S. bitcoin ETFs off to a roaring start with $4.6B in trading volume,U.S. bitcoin ETFs off to a roaring start with $4.6B in trading volume,https://seekingalpha.com/news/4054583-us-spot-bitcoin-etf-trading-volume-market-debut?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-12T09:17:30+00:00
Investing.com,VanEck debuts spot Bitcoin ETF with $72.5 million allocation,VanEck debuts spot Bitcoin ETF with $72.5 million allocation,https://www.investing.com/news/cryptocurrency-news/vaneck-debuts-spot-bitcoin-etf-with-725-million-allocation-93CH-3273167,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXNPEC6413U_M.jpg,business,en,us,2024-01-12T08:47:00+00:00
Emily Graffeo,Bitcoin ETFs Take Wall Street By Storm With Historic Debut,Bitcoin ETFs Take Wall Street By Storm With Historic Debut,https://www.ndtvprofit.com/crypto/bitcoin-btc-etfs-take-wall-street-by-storm-with-historic-debut,Bloomberg | Latest And Live Business,,business,en,us,2024-01-12T07:30:46+00:00
Sidhartha Shukla,Bitcoin Rival Ether Jumps On Bets Token Is Next For ETF Approval,Bitcoin Rival Ether Jumps On Bets Token Is Next For ETF Approval,https://www.ndtvprofit.com/crypto/ether-eth-jumps-on-bets-token-is-next-for-sec-etf-approval,Bloomberg | Latest And Live Business,,business,en,us,2024-01-12T02:13:26+00:00
Emily Graffeo,Bitcoin ETF Trades Top $4.6 Billion in ‘Ground-Breaking’ Day,Bitcoin ETF Trades Top $4.6 Billion in ‘Ground-Breaking’ Day,https://www.ndtvprofit.com/crypto/bitcoin-etf-trading-volumes-soar-in-ground-breaking-first-day,Bloomberg | Latest And Live Business,,business,en,us,2024-01-12T02:10:09+00:00
Paige Smith,"Vanguard Spurns Bitcoin ETF, Schwab Dives Right In, While Merrill Evaluates","Vanguard Spurns Bitcoin ETF, Schwab Dives Right In, While Merrill Evaluates",https://www.ndtvprofit.com/crypto/vanguard-spurns-bitcoin-etf-trading-while-merrill-evaluates,Bloomberg | Latest And Live Business,,business,en,us,2024-01-12T01:31:13+00:00
Investing.com,Robinhood Adds New Spot Bitcoin ETFs,Robinhood Adds New Spot Bitcoin ETFs,https://www.investing.com/news/cryptocurrency-news/robinhood-adds-new-spot-bitcoin-etfs-432SI-3272848,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEE0H0B5_M.jpg,business,en,us,2024-01-11T21:26:07+00:00
,Why did Riot Platforms stock go down today? Bitcoin pares gains,Why did Riot Platforms stock go down today? Bitcoin pares gains,https://seekingalpha.com/news/4054494-why-did-riot-platforms-stock-go-down-today-bitcoin-pares-gains?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-11T20:36:48+00:00
