Author,Title,Description,URL,Source,Image,Category,Language,Country,Published_at
,"After false SEC post on ETF, bulls still see bitcoin at all-time highs this year",A post from the U.S. Securities and Exchange Commission&#039;s X account falsely claimed a bitcoin exchange-traded fund had been approved.,https://www.cnbc.com/2024/01/10/bitcoin-will-hit-record-high-in-2024-bulls-say-after-false-sec-post.html,Cnbc | World Business News Leader,,business,en,us,2024-01-10T14:11:00+00:00
"Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",The Big Bitcoin Tease,A bogus social media post declaring that the S.E.C. had approved an E.T.F. tied to the cryptocurrency caused prices to whipsaw. A real decision could come as soon as Wednesday.,https://www.nytimes.com/2024/01/10/business/dealbook/etf-bitcoin-sec-hack.html,The New York Times,https://static01.nyt.com/images/2024/01/10/multimedia/10db-gensler-kzpg/10db-gensler-kzpg-mediumSquareAt3X.jpg,business,en,us,2024-01-10T13:07:30+00:00
U.Today,Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date,Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date,https://www.investing.com/news/cryptocurrency-news/bitcoin-btc-30-pump-will-break-alltime-high-heres-potential-date-3271317,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/d7302451e500b3ceb333ee9981186da7_M.jpg,business,en,us,2024-01-10T12:30:40+00:00
,Ault Alliance to begin holding bitcoin on its balance sheet,Ault Alliance to begin holding bitcoin on its balance sheet,https://seekingalpha.com/news/4053729-ault-alliance-to-begin-holding-bitcoin-on-its-balance-sheet?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-10T11:42:09+00:00
,Hysteria over a spot Bitcoin ETF reaches fever pitch: Why is it such a big deal?,Hysteria over a spot Bitcoin ETF reaches fever pitch: Why is it such a big deal?,https://seekingalpha.com/news/4053720-hysteria-over-a-spot-bitcoin-etf-reaches-fever-pitch-why-is-it-such-a-big-deal?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-10T10:30:13+00:00
U.Today,'Rich Dad Poor Dad' Author Kiyosaki Gives Epic Bitcoin Price Prediction,'Rich Dad Poor Dad' Author Kiyosaki Gives Epic Bitcoin Price Prediction,https://www.investing.com/news/cryptocurrency-news/rich-dad-poor-dad-author-kiyosaki-gives-epic-bitcoin-price-prediction-3270950,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEE0H04E_M.jpg,business,en,us,2024-01-10T08:30:28+00:00
U.Today,Ethereum (ETH) Loses Fight Against Bitcoin (BTC): No Alt Season?,Ethereum (ETH) Loses Fight Against Bitcoin (BTC): No Alt Season?,https://www.investing.com/news/cryptocurrency-news/ethereum-eth-loses-fight-against-bitcoin-btc-no-alt-season-3270812,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-10T01:30:28+00:00
Yueqi Yang,Bitcoin Fluctuates After Debunked Post Claimed ETFs Won Approval,Bitcoin Fluctuates After Debunked Post Claimed ETFs Won Approval,https://www.ndtvprofit.com/crypto/bitcoin-fluctuates-after-debunked-post-claimed-etfs-won-approval,Bloomberg | Latest And Live Business,,business,en,us,2024-01-10T01:26:12+00:00
Allyson Versprille,SEC X Account Compromised To Falsely Say Bitcoin ETFs Approved,SEC X Account Compromised To Falsely Say Bitcoin ETFs Approved,https://www.ndtvprofit.com/crypto/sec-says-has-not-yet-granted-approval-of-spot-bitcoin-etfs,Bloomberg | Latest And Live Business,,business,en,us,2024-01-10T01:19:33+00:00
David Pan,Bitcoin Hedging Ramps Up As SEC’s ETF Approval Deadline Nears,Bitcoin Hedging Ramps Up As SEC’s ETF Approval Deadline Nears,https://www.ndtvprofit.com/crypto/bitcoin-btc-hedging-ramps-up-as-sec-s-etf-approval-deadline-nears,Bloomberg | Latest And Live Business,,business,en,us,2024-01-10T01:07:43+00:00
Rob Verdonck,Asia Stocks Open Mixed; Bitcoin Swings On X Posts: Markets Wrap,Asia Stocks Open Mixed; Bitcoin Swings On X Posts: Markets Wrap,https://www.ndtvprofit.com/markets/stock-market-today-dow-s-p-live-updates-142,Bloomberg | Latest And Live Business,,business,en,us,2024-01-10T01:00:38+00:00
,Bitcoin swings sharply after false claim that SEC approved ETFs,Chair Gary Gensler says commission’s account on X was ‘compromised’,https://www.ft.com/content/60efd3f4-62c9-42e5-8b32-4761eaa19b5a,Financial Times,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F7f701125-70fa-4bb3-87bb-45423d7a7e20.jpg?source=next-home-page&dpr=2&width=580&fit=scale-down,business,en,us,2024-01-10T00:00:09+00:00
Investing.com,SEC Says Bitcoin Etfs Have Not Received Approval On Tuesday - Bloomberg,SEC Says Bitcoin Etfs Have Not Received Approval On Tuesday - Bloomberg,https://www.investing.com/news/cryptocurrency-news/sec-says-bitcoin-etfs-have-not-received-approval-on-tuesday--bloomberg-432SI-3270719,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEE0502N_M.jpg,business,en,us,2024-01-09T21:26:13+00:00
,SEC approves bitcoin ETFs in long-awaited decision; BTC fluctuates,SEC approves bitcoin ETFs in long-awaited decision; BTC fluctuates,https://seekingalpha.com/news/4053640-sec-approves-bitcoin-etfs-in-long-awaited-decision?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-09T21:22:25+00:00
Reuters,Cryptoverse: Bitcoin derivatives traders bet billions on ETF future,Cryptoverse: Bitcoin derivatives traders bet billions on ETF future,https://www.investing.com/news/stock-market-news/cryptoverse-bitcoin-derivatives-traders-bet-billions-on-etf-future-3269951,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0806I_L.jpg,business,en,us,2024-01-09T15:51:18+00:00
Investing.com,"Valkyrie expects SEC nod for Bitcoin ETF, trading could start Thursday","Valkyrie expects SEC nod for Bitcoin ETF, trading could start Thursday",https://www.investing.com/news/cryptocurrency-news/valkyrie-expects-sec-nod-for-bitcoin-etf-trading-could-start-thursday-93CH-3270405,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-09T14:55:59+00:00
,Bitcoin consolidates under $47K as ETF excitement builds,Bitcoin consolidates under $47K as ETF excitement builds,https://seekingalpha.com/news/4053501-bitcoin-consolidates-under-47k-as-etf-excitement-builds?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-09T14:36:04+00:00
U.Today,Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date,Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date,https://www.investing.com/news/cryptocurrency-news/bitcoin-btc-30-pump-will-break-alltime-high-heres-potential-date-3270080,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-09T12:30:27+00:00
Investing.com,Analysts who predicted Bitcoin's 2023 rally are out with their forecast for 2024 and 2025,Analysts who predicted Bitcoin's 2023 rally are out with their forecast for 2024 and 2025,https://www.investing.com/news/cryptocurrency-news/analysts-who-predicted-bitcoins-2023-rally-are-out-with-their-forecast-for-2024-and-2025-432SI-3270063,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-09T11:53:02+00:00
U.Today,Dogecoin and Bitcoin Head to Moon With Epic Rocket Launch Today,Dogecoin and Bitcoin Head to Moon With Epic Rocket Launch Today,https://www.investing.com/news/cryptocurrency-news/dogecoin-and-bitcoin-head-to-moon-with-epic-rocket-launch-today-3269979,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEA74100_M.jpg,business,en,us,2024-01-09T08:30:28+00:00
Reuters,"Dollar retreats, bitcoin jumps ahead of ETF approval deadline","Dollar retreats, bitcoin jumps ahead of ETF approval deadline",https://www.investing.com/news/economy/dollar-pulls-back-bitcoin-jumps-ahead-of-etf-approval-deadline-3269904,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0800S_L.jpg,business,en,us,2024-01-09T06:21:15+00:00
GlobeNewswire,DMG Blockchain Solutions Announces December Mining Results,"VANCOUVER, British Columbia, Jan. 08, 2024 (GLOBE NEWSWIRE) &#8212; DMG Blockchain Solutions Inc. (TSX-V: DMGI) (OTCQB US: DMGGF) (FRANKFURT: 6AX) (“DMG” or the “Company”), a vertically integrated blockchain and cryptocurrency technology company, announces December 2023 preliminary mining results: DMG mined 72.1 bitcoin with 1.0 EH/s realized hashrate. DMG’s bitcoin balance as of December 31, 2023 [&#8230;]",https://financialpost.com/globe-newswire/dmg-blockchain-solutions-announces-december-mining-results,Financial Post | Canada Business News,,business,en,us,2024-01-09T05:50:32+00:00
Olga Kharif,Bitcoin Rally Cools In Countdown To U.S. Spot ETF Decision By SEC,Bitcoin Rally Cools In Countdown To U.S. Spot ETF Decision By SEC,https://www.ndtvprofit.com/crypto/bitcoin-btc-rally-cools-near-47-000-in-countdown-to-sec-etf-decision,Bloomberg | Latest And Live Business,,business,en,us,2024-01-09T03:33:43+00:00
zee business,"Dollar pulls back, bitcoin jumps ahead of ETF approval deadline","Brent crude oil price news: The dollar paused its rally on Tuesday, as traders reaffirmed their bets for a slew of Federal Reserve rate cuts this year on the belief that inflation in the US is slowing sufficiently.",https://www.zeebiz.com/markets/currency/news-dollar-pulls-back-bitcoin-jumps-ahead-of-etf-approval-deadline-271350,Zee Business,,business,en,us,2024-01-09T02:23:44+00:00
Reuters,Factbox-Companies disclose expected fees for spot bitcoin ETFs ahead of SEC decision,Factbox-Companies disclose expected fees for spot bitcoin ETFs ahead of SEC decision,https://www.investing.com/news/stock-market-news/factboxcompanies-disclose-expected-fees-for-spot-bitcoin-etfs-ahead-of-sec-decision-3269751,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK070OZ_L.jpg,business,en,us,2024-01-08T19:37:00+00:00
,Cathie Wood: Probability is very high that a Spot Bitcoin ETF will be approved this week,Cathie Wood: Probability is very high that a Spot Bitcoin ETF will be approved this week,https://seekingalpha.com/news/4053168-cathie-wood-probability-is-very-high-that-a-spot-bitcoin-etf-will-be-approved-this-week?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-08T19:12:50+00:00
,Bitcoin tops $45K as potential ETF sign-off nears,Bitcoin tops $45K as potential ETF sign-off nears,https://seekingalpha.com/news/4053147-bitcoin-tops-45k-as-potential-etf-sign-off-nears?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-08T17:32:40+00:00
Investing.com,"BlackRock, Fidelity update filings ahead of SEC Bitcoin ETF decision","BlackRock, Fidelity update filings ahead of SEC Bitcoin ETF decision",https://www.investing.com/news/cryptocurrency-news/blackrock-fidelity-update-filings-ahead-of-sec-bitcoin-etf-decision-93CH-3269634,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXNPEE1P15Z_M.jpg,business,en,us,2024-01-08T14:35:12+00:00
,CleanSpark buys 60K Bitmain S21 bitcoin miners for $193.2M,CleanSpark buys 60K Bitmain S21 bitcoin miners for $193.2M,https://seekingalpha.com/news/4053009-cleanspark-buys-60k-bitmain-s21-bitcoin-miners-for-1932m?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-08T14:27:02+00:00
Dave Liedtka,"Bitcoin Retakes $45,000 With ETF Applicants Making Final Push","Bitcoin Retakes $45,000 With ETF Applicants Making Final Push",https://www.ndtvprofit.com/crypto/bitcoin-retakes-45-000-with-etf-applicants-making-final-push,Bloomberg | Latest And Live Business,,business,en,us,2024-01-08T13:54:56+00:00
GlobeNewswire,"Bitfarms Appoints Tracy Krumme as Senior Vice President, Head of Investor Relations","TORONTO, Ontario and BROSSARD, Québec, Jan. 08, 2024 (GLOBE NEWSWIRE) &#8212; Bitfarms Ltd. (NASDAQ: BITF//TSX: BITF), a global vertically integrated Bitcoin mining company, today announced that it has appointed Tracy Krumme as Senior Vice President, Head of Investor Relations. Ms. Krumme has more than 30 years of leadership experience in investor relations, financial communications, investment banking, [&#8230;]",https://financialpost.com/globe-newswire/bitfarms-appoints-tracy-krumme-as-senior-vice-president-head-of-investor-relations,Financial Post | Canada Business News,,business,en,us,2024-01-08T12:05:24+00:00
U.Today,Dogecoin and Bitcoin Head to Moon With Epic Rocket Launch Today,Dogecoin and Bitcoin Head to Moon With Epic Rocket Launch Today,https://www.investing.com/news/cryptocurrency-news/dogecoin-and-bitcoin-head-to-moon-with-epic-rocket-launch-today-3268848,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-08T08:00:25+00:00
Katie Greifeld,Bitcoin ETF Hopefuls Eye This Week For Long-Awaited SEC Greenlight,Bitcoin ETF Hopefuls Eye This Week For Long-Awaited SEC Greenlight,https://www.ndtvprofit.com/crypto/crypto-s-bitcoin-etf-hopefuls-wait-for-us-sec-approval-by-january-10-deadline,Bloomberg | Latest And Live Business,,business,en,us,2024-01-08T02:17:40+00:00
Investing.com,Bitcoin sees fresh activity as Satoshi Nakamoto's wallet receives 27 BTC,Bitcoin sees fresh activity as Satoshi Nakamoto's wallet receives 27 BTC,https://www.investing.com/news/cryptocurrency-news/bitcoin-sees-fresh-activity-as-satoshi-nakamotos-wallet-receives-27-btc-93CH-3268583,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-06T21:40:31+00:00
Investing.com,BlackRock to cut 3% of its workforce as it awaits SEC decision on Bitcoin ETF,BlackRock to cut 3% of its workforce as it awaits SEC decision on Bitcoin ETF,https://www.investing.com/news/cryptocurrency-news/blackrock-to-cut-3-of-its-workforce-as-it-awaits-sec-decision-on-bitcoin-etf-93CH-3268580,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEDB60BK_M.jpg,business,en,us,2024-01-06T20:52:28+00:00
Olga Kharif,Crypto Job Postings Drop Nearly 60% in December Despite Recent Bitcoin Rally,Crypto Job Postings Drop Nearly 60% in December Despite Recent Bitcoin Rally,https://www.ndtvprofit.com/crypto/crypto-jobs-postings-drop-nearly-60-in-december-per-linkedin,Bloomberg | Latest And Live Business,,business,en,us,2024-01-06T10:15:17+00:00
